Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2022,1,14,6,Alpinista,45,D,No,Yes,4.5,111111,3,1,Yes,Yes,5,128,120,Sir Mark Prescott,L Morris,0,Very Soft,1
2022,2,15,2,Vadeni (FR),22,BF,No,No,10,51113,2,3,Yes,No,3,124,123,J C Rouget,C Soumillon,0.5,Very Soft,1
2022,3,2,8,Torquator Tasso (GER),28,D,No,Yes,8,16122,1,2,Yes,No,5,131,123,M Weiss/Schweiz,L Dettori,0.25,Very Soft,1
2022,4,16,4,Al Hakeem,48,,No,No,21,11141,2,1,Yes,Yes,3,124,114,J C Rouget,C Demuro,2,Very Soft,1
2022,5,13,9,Grand Glory,21,C,Yes,No,67,51137,1,7,No,No,6,128,116,G Bietolini,M Guyon,1.5,Very Soft,1
2022,6,18,7,Westover,71,BF,No,No,9.5,221315,1,5,No,No,3,124,120,R M Beckett,Rob Hornby,3,Very Soft,1
2022,7,20,8,Luxembourg (IRE),22,,No,No,5,111311,2,1,Yes,Yes,3,124,122,A P O'Brien,R L Moore,0.15,Very Soft,0
2022,8,7,14,Broome (IRE),22,D,No,Yes,101,51447,0,7,No,No,6,131,118,A P O'Brien,W M Lordan,1,Very Soft,0
2022,9,5,12,Alenquer (FR),22,D,No,Yes,41,916166,1,6,No,No,4,131,119,W J Haggas,Tom Marquand,0.35,Very Soft,0
2022,10,17,11,Onesto (IRE),22,CD,Yes,Yes,10,81512,1,2,Yes,No,3,124,118,F Chappet,S Pasquier,0.5,Very Soft,0
2022,11,11,10,Titleholder (JPN),98,D,No,Yes,9,15111,3,1,Yes,Yes,4,131,,T Kurita,K Yokoyama,4,Very Soft,0
2022,12,10,1,Mendocino (GER),28,D,No,Yes,34,24351,1,1,Yes,Yes,4,131,,Frau S Steinberg,R Piechulek,1,Very Soft,0
2022,13,1,17,Mishriff (IRE),22,D,No,Yes,29,402324,0,4,No,No,5,131,121,J & T Gosden,W Buick,4,Very Soft,0
2022,14,8,20,Stay Foolish (JPN),35,,No,No,101,51192,1,2,Yes,No,7,131,117,Y Yahagi,C P Lemaire,0.15,Very Soft,0
2022,15,3,19,Mare Australis (IRE),91,C,Yes,No,67,13417,1,7,No,No,5,131,118,A Fabre,B Murzabayev,3,Very Soft,0
2022,16,4,15,Sealiway (FR),28,C,Yes,No,41,2354,0,4,No,No,4,131,115,F Graffard,M Barzalona,1,Very Soft,0
2022,17,12,13,Bubble Gift (FR),21,C,Yes,No,41,84232,0,2,Yes,No,4,131,108,M Delzangles,O Peslier,2,Very Soft,0
2022,18,6,5,Deep Bond (JPN),98,CD,Yes,Yes,34,2124,1,4,No,No,5,131,117,R Okubo,Y Kawada,12,Very Soft,0
2022,19,19,3,Do Deuce (JPN),21,BF,No,No,34,12314,1,4,No,No,3,124,,Y Tomomichi,Yutaka Take,6,Very Soft,0
2022,20,9,16,Mostahdaf (IRE),29,D,No,Yes,41,112261,1,1,Yes,Yes,4,131,117,J & T Gosden,Jim Crowley,0.75,Very Soft,0
2021,1,1,12,Torquator Tasso (GER),28,D,No,Yes,81,26121,2,1,Yes,Yes,4,131,118,M Weiss/Schweiz,Rene Piechulek,0,Very Soft,1
2021,2,4,3,Tarnawa (IRE),22,C,Yes,No,6,111112,2,2,Yes,No,5,128,122,D K Weld,C Soumillon,0.75,Very Soft,1
2021,3,11,2,Hurricane Lane (IRE),22,D,No,Yes,3.5,113111,3,1,Yes,Yes,3,124,121,C Appleby,James Doyle,0.35,Very Soft,1
2021,4,10,11,Adayar (IRE),71,D,No,Yes,4,412211,2,1,Yes,Yes,3,124,127,C Appleby,W Buick,3,Very Soft,1
2021,5,12,10,Sealiway (FR),119,C,Yes,No,34,15282,0,2,Yes,No,3,124,114,C E Rossi,F Blondel,0.75,Very Soft,1
2021,6,15,9,Snowfall (JPN),21,D,No,Yes,6,811112,2,2,Yes,No,3,121,120,A P O'Brien,R L Moore,0.15,Very Soft,0
2021,7,7,14,Chrono Genesis (JPN),98,D,No,Yes,8.5,13121,2,1,Yes,Yes,5,128,120,T Saito,Oisin Murphy,0.5,Very Soft,0
2021,8,14,6,Bubble Gift (FR),21,C,Yes,No,101,211261,1,1,Yes,Yes,3,124,108,M Delzangles,G Mosse,0.35,Very Soft,0
2021,9,13,8,Alenquer (FR),46,D,No,Yes,17,121132,1,2,Yes,No,3,124,115,W J Haggas,Tom Marquand,1.25,Very Soft,0
2021,10,8,1,Mojo Star (IRE),22,D,No,Yes,34,222512,1,2,Yes,No,3,124,116,R Hannon,Rossa Ryan,0.15,Very Soft,0
2021,11,3,7,Broome (IRE),21,D,No,Yes,41,122142,1,2,Yes,No,5,131,117,A P O'Brien,Yutaka Take,3,Very Soft,0
2021,12,6,15,Raabihah (USA),42,C,Yes,No,34,52221,1,1,Yes,Yes,4,128,110,J C Rouget,C Demuro,2.5,Very Soft,0
2021,13,9,13,Baby Rider (FR),21,,No,No,251,11052,0,2,Yes,No,3,124,108,P Bary,I Mendizabal,1,Very Soft,0
2021,14,2,5,Deep Bond (JPN),21,CD,Yes,Yes,26,40121,2,1,Yes,Yes,4,131,117,R Okubo,M Barzalona,30,Very Soft,0
2020,1,7,4,Sottsass (FR),22,CD,Yes,Yes,7.5,134124,1,4,No,No,4,131,119,J C Rouget,C Demuro,0,Heavy,1
2020,2,12,1,In Swoop (IRE),21,D,No,Yes,9.5,1312,1,2,Yes,No,3,124,114,F Graffard,R Thomas,0.25,Heavy,1
2020,3,1,7,Persian King (IRE),28,C,Yes,No,8.5,221141,2,1,Yes,Yes,4,131,123,A Fabre,P C Boudot,1.75,Heavy,1
2020,4,10,9,Gold Trip (FR),21,,No,No,34,252103,1,3,Yes,No,3,124,114,F Chappet,S Pasquier,0.15,Heavy,1
2020,5,15,2,Raabihah (USA),21,C,Yes,No,11,11412,1,2,Yes,No,3,121,113,J C Rouget,M Guyon,2,Heavy,1
2020,6,8,5,Enable,29,D,No,Yes,2.2,112211,2,1,Yes,Yes,6,128,128,J & T Gosden,L Dettori,2,Heavy,0
2020,7,6,14,Stradivarius (IRE),21,,No,No,5.5,123112,2,2,Yes,No,6,131,123,J & T Gosden,O Peslier,0.5,Heavy,0
2020,8,9,12,Deirdre (JPN),66,,No,No,41,434257,0,7,No,No,6,128,119,M Hashida,J P Spencer,2.5,Heavy,0
2020,9,3,6,Way To Paris,21,C,Yes,No,29,621215,1,5,No,No,7,131,115,A Marcialis,I Mendizabal,0.05,Heavy,0
