Number,Rating,Num-of-wins-in-last-3-starts,Placed-Last-Time-Out,Won-Last-Time-Out,Odds(decimal),Result-last-start,Draw,Age,Course-winner,Profitable
7,119,1,No,No,7.5,4,4,4,Yes,1
12,114,1,Yes,No,9.5,2,1,3,No,1
1,123,2,Yes,Yes,8.5,1,7,4,Yes,1
10,114,1,Yes,No,34,3,9,3,No,1
15,113,1,Yes,No,11,2,2,3,Yes,1
8,128,2,Yes,Yes,2.2,1,5,6,No,0
6,123,2,Yes,No,5.5,2,14,6,No,0
9,119,0,No,No,41,7,12,6,No,0
3,115,1,No,No,29,5,6,7,Yes,0
2,108,0,Yes,No,101,2,8,7,No,0
11,108,2,Yes,Yes,101,1,13,3,Yes,0
4,121,0,No,No,15,5,11,4,No,0
5,116,0,No,No,51,6,10,4,No,0
13,119,2,Yes,Yes,17,1,3,3,No,0
14,120,2,No,No,13,4,15,3,No,0
2,122,1,Yes,Yes,17,1,3,5,Yes,1
8,128,3,Yes,Yes,1.67,1,9,5,No,1
12,,3,Yes,Yes,9,1,1,3,Yes,1
10,122,3,Yes,Yes,7,1,10,3,No,1
9,122,1,Yes,Yes,13,1,8,4,No,0
11,,0,Yes,No,67,2,6,3,No,0
4,,0,Yes,No,67,3,7,5,No,0
7,105,0,Yes,No,51,3,11,5,No,0
1,,3,Yes,Yes,81,1,5,4,No,0
3,127,2,Yes,Yes,8.5,1,12,4,Yes,0
5,,1,Yes,Yes,51,1,4,4,No,0
6,,1,Yes,No,81,3,2,4,No,0
10,128,3,Yes,Yes,1.91,1,6,4,No,1
19,118,3,Yes,Yes,5,1,15,3,No,1
6,117,0,Yes,No,21,3,9,5,Yes,1
5,122,3,Yes,Yes,5,1,13,4,No,1
3,118,1,No,No,26,5,4,4,No,1
2,114,0,Yes,No,81,3,7,4,No,1
13,121,2,Yes,Yes,8,1,14,3,Yes,0
17,106,0,No,No,81,7,3,3,No,0
14,115,1,No,No,41,5,19,3,No,0
18,111,1,No,No,41,4,16,3,No,0
4,116,0,No,No,126,4,10,5,No,0
8,108,0,No,No,101,5,5,6,No,0
7,119,1,Yes,No,21,2,8,5,No,0
12,114,0,Yes,No,34,2,2,3,No,0
1,117,1,Yes,No,41,2,18,4,No,0
16,115,0,Yes,No,41,2,12,3,No,0
9,116,0,No,No,67,6,1,4,No,0
11,112,1,Yes,No,34,3,11,3,Yes,0
15,109,0,No,No,151,6,17,3,No,0
17,126,3,Yes,Yes,1.91,1,2,3,No,1
5,,2,Yes,No,26,2,3,4,Yes,1
4,127,2,Yes,Yes,10,1,1,4,No,1
12,120,2,Yes,Yes,9,1,9,5,No,1
14,,2,No,No,21,5,4,3,Yes,1
1,,2,Yes,Yes,29,1,18,4,No,1
2,,0,Yes,No,201,2,12,4,Yes,0
3,113,0,Yes,No,81,2,11,5,No,0
6,,0,No,No,151,5,16,5,No,0
7,121,1,No,No,26,6,7,4,No,0
8,,3,Yes,Yes,15,1,10,4,No,0
9,,1,No,No,41,4,13,4,No,0
10,,0,No,No,251,6,5,7,No,0
11,,1,Yes,No,101,2,6,5,No,0
13,119,1,No,No,51,9,17,4,No,0
15,120,2,Yes,Yes,21,1,15,3,No,0
16,,0,Yes,No,101,2,14,3,No,0
18,119,2,Yes,No,10,2,8,3,No,0
10,118,0,Yes,No,7,2,12,4,No,1
4,121,1,No,No,21,7,11,4,No,1
8,124,2,Yes,No,15,2,16,4,No,1
9,,0,Yes,No,101,2,3,6,Yes,1
1,121,1,No,No,13,4,8,4,Yes,1
2,124,3,Yes,Yes,2.88,1,7,5,No,0
3,,1,Yes,Yes,101,1,13,4,No,0
5,,1,No,No,101,4,9,4,No,0
6,114,0,No,No,51,6,2,5,Yes,0
7,,2,Yes,Yes,17,1,4,4,No,0
11,123,2,No,No,6.5,8,6,3,No,0
12,,0,Yes,No,251,3,1,3,No,0
13,,1,Yes,Yes,41,1,5,3,No,0
14,,2,Yes,Yes,7.5,1,14,3,No,0
15,,1,Yes,Yes,41,1,10,3,No,0
16,,2,Yes,Yes,17,1,15,3,Yes,0
16,130,2,Yes,Yes,5.5,1,14,3,No,1
1,121,0,Yes,No,21,2,11,5,No,1
13,,3,Yes,Yes,6,1,5,3,Yes,1
9,130,3,Yes,Yes,2,1,8,5,Yes,1
2,121,0,Yes,No,34,3,3,4,No,1
3,,2,No,No,67,4,1,4,No,1
5,,1,Yes,Yes,67,1,10,4,No,0
6,,0,Yes,No,101,2,18,5,Yes,0
7,123,1,Yes,No,15,3,12,4,No,0
8,,0,No,No,34,4,13,4,No,0
10,,0,No,No,201,4,6,5,No,0
11,,3,Yes,Yes,151,1,7,5,No,0
12,118,0,Yes,No,34,2,9,4,No,0
14,,0,Yes,No,101,2,17,3,Yes,0
15,,2,No,No,26,4,4,3,No,0
17,77,0,No,No,251,5,2,3,No,0
18,113,1,Yes,No,19,2,15,3,Yes,0
4,,0,No,No,101,4,16,6,No,0
8,130,0,No,No,12,4,3,4,No,1
1,119,0,Yes,No,17,2,4,4,No,1
18,124,2,Yes,No,5.5,2,15,3,No,1
14,120,1,Yes,Yes,26,1,20,3,No,1
17,,2,Yes,No,17,3,5,3,No,1
19,,2,Yes,Yes,9,1,12,3,No,1
13,,0,Yes,No,29,3,9,3,No,0
7,,3,Yes,Yes,8,1,14,5,No,0
2,122,1,Yes,Yes,13,1,6,4,No,0
3,115,1,No,No,67,5,7,6,No,0
16,,3,Yes,Yes,9,1,1,3,Yes,0
10,,1,No,No,101,7,16,4,No,0
20,122,1,No,No,15,9,8,3,No,0
6,,1,Yes,No,13,2,2,5,No,0
9,115,1,Yes,No,41,2,18,4,No,0
5,,2,Yes,No,67,3,13,4,Yes,0
11,,3,Yes,Yes,7,1,10,3,Yes,0
4,,2,Yes,Yes,26,1,19,4,No,0
15,,1,Yes,Yes,101,1,17,3,Yes,0
12,,1,No,No,201,5,11,3,Yes,0
8,130,0,No,No,12,4,3,4,No,1
1,119,0,Yes,No,17,2,4,4,No,1
18,124,2,Yes,No,5.5,2,15,3,No,1
14,120,1,Yes,Yes,26,1,20,3,No,1
17,,2,Yes,No,17,3,5,3,No,1
19,,2,Yes,Yes,9,1,12,3,No,1
13,,0,Yes,No,29,3,9,3,No,0
7,,3,Yes,Yes,8,1,14,5,No,0
2,122,1,Yes,Yes,13,1,6,4,No,0
3,115,1,No,No,67,5,7,6,No,0
16,,3,Yes,Yes,9,1,1,3,Yes,0
10,,1,No,No,101,7,16,4,No,0
20,122,1,No,No,15,9,8,3,No,0
6,,1,Yes,No,13,2,2,5,No,0
9,115,1,Yes,No,41,2,18,4,No,0
5,,2,Yes,No,67,3,13,4,Yes,0
11,,3,Yes,Yes,7,1,10,3,Yes,0
4,,2,Yes,Yes,26,1,19,4,No,0
15,,1,Yes,Yes,101,1,17,3,Yes,0
12,,1,No,No,201,5,11,3,Yes,0
10,,1,Yes,No,34,3,6,4,No,1
6,,1,Yes,Yes,6,1,18,4,No,1
14,,2,Yes,Yes,12,1,17,3,Yes,1
9,,0,No,No,151,5,1,4,Yes,1
1,,2,No,No,10,5,16,4,No,1
2,,0,No,No,15,5,10,5,No,1
3,,1,Yes,No,21,2,13,4,No,0
4,,1,Yes,Yes,101,1,9,5,No,0
5,,0,No,No,501,8,12,4,No,0
7,,0,No,No,251,5,8,8,No,0
8,,1,Yes,Yes,15,1,11,4,No,0
11,,2,Yes,No,23,2,14,3,No,0
12,,1,No,No,29,5,15,3,No,0
13,,2,Yes,No,3,2,5,3,No,0
15,,1,No,No,151,7,4,3,No,0
16,,2,Yes,Yes,10,1,2,3,Yes,0
17,,1,No,No,15,4,3,3,No,0
18,,3,Yes,Yes,7,1,7,3,No,0
15,,2,Yes,Yes,21,1,2,3,No,1
13,,2,Yes,No,67,3,9,3,No,1
8,,0,Yes,No,15,2,11,4,No,1
6,,2,Yes,Yes,5.5,1,14,5,No,1
2,,1,Yes,No,34,3,6,4,No,1
10,,2,Yes,No,13,2,10,3,No,0
7,,3,Yes,Yes,5,1,13,4,Yes,0
3,,1,Yes,No,101,2,15,4,Yes,0
16,,2,Yes,Yes,8,1,4,3,Yes,0
4,,2,Yes,No,11,2,1,4,No,0
5,,0,No,No,29,4,16,5,No,0
1,,1,Yes,No,11,2,8,4,No,0
14,,2,Yes,No,67,2,3,3,Yes,0
9,,2,Yes,Yes,29,1,12,3,No,0
12,,2,Yes,Yes,13,1,7,3,Yes,0
11,,2,Yes,Yes,15,1,5,3,No,0
13,126,1,No,No,7,5,8,3,No,1
7,,2,Yes,No,23,2,10,4,No,1
20,,2,Yes,No,13,3,3,3,Yes,1
14,,2,Yes,Yes,4.5,1,9,3,Yes,1
3,128,3,Yes,Yes,5.5,1,1,4,No,1
2,,1,Yes,Yes,51,1,17,4,No,1
19,,1,No,No,41,4,5,3,No,0
6,117,0,Yes,No,21,3,4,4,Yes,0
10,,0,Yes,No,151,3,20,5,No,0
1,117,0,Yes,No,13,3,12,7,No,0
17,,1,No,No,21,5,13,3,Yes,0
5,,0,No,No,101,6,6,4,No,0
15,119,2,Yes,Yes,12,1,11,3,No,0
8,,0,Yes,No,67,3,14,5,No,0
9,119,1,Yes,Yes,34,1,16,5,No,0
12,,2,Yes,No,26,2,15,4,Yes,0
18,112,0,Yes,No,41,2,18,3,No,0
4,,0,No,No,151,8,2,5,No,0
11,,2,No,No,0,6,19,5,No,0
18,,3,Yes,Yes,1.67,1,6,3,No,1
